"Marka","Model","Przebieg","Rodzaj Paliwa","Skrzynia Biegów","Rok Produkcji","Zdjęcie"
"renault","Twingo","179 000 km","Benzyna","Manualna","2011 ","https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6ImFpNmYyaXlsbjE5YjMtT1RPTU9UT1BMIn0.6m_GRXknhUbClyKXnaxYlzlMDgyQLjNfX2ceZOJ343k/image;s=320x240"
"renault","Twingo","181 000 km","Benzyna","Manualna","2012 ","https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6IjFpbG4wanN3Y2M2bS1PVE9NT1RPUEwifQ.4FNQNWF9BOWVx46CLK-lT4N2-HgsJy0XInBxLVoTzIY/image;s=320x240"
"renault","Twingo","2 298 km","Elektryczny","Automatyczna","2023 ","https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6ImVrNDNzY3I1bjY2MDEtT1RPTU9UT1BMIn0.EoMQ_CdcKfz3rZm0MlrliY06omoFvMfukvHLjErbZxg/image;s=320x240"
"renault","Twingo","21 000 km","Benzyna","Manualna","2020 ","https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6InB4c2RoY3ZwYTJ6ci1PVE9NT1RPUEwifQ.tTgPHFQ7Jmr6VtDlOORYKHhY5v6anGB8UVwCUxzWrqs/image;s=320x240"
"renault","Twingo","222 000 km","Benzyna","Manualna","2009 ","https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6ImQ2MDMxc2Y2bGlkcjEtT1RPTU9UT1BMIn0.zgpnor2mp1ideS9XP6kSGA1vJ5u490_BtLpzEXXENAU/image;s=320x240"
"renault","Twingo","228 900 km","Benzyna+LPG","Manualna","2008 ","https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6Imx4a3B6NjV1OWZldS1PVE9NT1RPUEwifQ.qbT1vxIYa52Kz8KRQqjngZtb9XAFWY_WbildFwm2ztU/image;s=644x461"
"renault","Twingo","23 195 km","Benzyna","Manualna","2014 ","https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6Ing4MWRoZGw3eGMyZjItT1RPTU9UT1BMIn0.vD50HJpAV6jCuBJyfhXeVmYS3l85EJ2NQtOmHbqbN-o/image;s=140x24"
"renault","Twingo","24 000 km","Benzyna","Manualna","2018 ","https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6ImhsNjZvejZ3Y2plYTMtT1RPTU9UT1BMIn0.1B84yXTX6bA3CDeAvIrHIqEi18aR177iVzzVXyKUT3c/image;s=320x240"
"renault","Twingo","33 000 km","Benzyna","Automatyczna","2016 ","https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6ImxvY2dqM3RuZXR0di1PVE9NT1RPUEwifQ.faPC8BhAmW5Qa14qBnP3FSe6ttaJmqu6gW0E4hPsjeM/image;s=320x240"
"renault","Twingo","40 500 km","Benzyna","Manualna","2008 ","https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6Inc1cmlkMDBsd3A1NzEtT1RPTU9UT1BMIn0.sT18KEfqePwpALe1l0N-BljITy5ZFDOg8q7pHPXa1Ws/image;s=320x240"
"renault","Twingo","47 000 km","Benzyna","Manualna","2018 ","https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6IjBueXRkemx1NHJmdjEtT1RPTU9UT1BMIn0.kuPfJX_pVzX80YywHQk2NyLWCDvvXFSmwCtJ8VqU0K8/image;s=320x240"
"renault","Twingo","63 000 km","Benzyna","Manualna","2015 ","https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6ImRqdTdjYnVlb2xyczEtT1RPTU9UT1BMIn0.Rkkuo8dGMPSmNaMxyvrvZpAc0DixAZSkWSRi39-cIr0/image;s=320x240"
"renault","Twingo","69 086 km","Benzyna","Manualna","2014 ","https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6Im9zMnlob2h0NjVxZzMtT1RPTU9UT1BMIn0.CI1FgQHfdp2rnn6sZEkivJTcvsW6HCRGIJ9K5Et6pEE/image;s=320x240"
"renault","Twingo","70 000 km","Benzyna","Manualna","2019 ","https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6ImllY3N5YnZ6dzJuai1PVE9NT1RPUEwifQ.lc-QF6o6jE_a9OH9KPUwNxJEAU0wFksQ33yrHSufHtY/image;s=320x240"
"renault","Twingo","73 385 km","Benzyna","Manualna","2014 ","https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6InJvdm82M2J2eDJwYS1PVE9NT1RPUEwifQ.U2hwk8UtGbglFogxkzktWhO0ZvFH5_ivWsucMndY3G0/image;s=140x24"
"renault","Twingo","75 000 km","Benzyna","Automatyczna","2017 ","https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6Im96Mmc4bmM4bjRiajEtT1RPTU9UT1BMIn0.90gUJQeWFtQo7lDv0tAQhqqmYLuYCtazMsGXVv_NYdc/image;s=320x240"
"renault","Twingo","76 000 km","Benzyna","Manualna","2019 ","https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6Im9vemJ5c2IxM2Q2cTEtT1RPTU9UT1BMIn0.9GvGnqlIqYddcbvWYj5zqeRfebCR-yUbRFQy6MM_s4A/image;s=140x24"
"renault","Twingo","80 628 km","Benzyna","Manualna","2014 ","https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6ImZvaDB6bTllam5rcjItT1RPTU9UT1BMIn0.TYsqtOYHhMKLeyH6K524VF54ZeaIpQr_cA53q8SZsNQ/image;s=320x240"
"renault","Twingo","91 000 km","Benzyna","Manualna","2017 ","https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6IjZwenRneHJqd3l1bzMtT1RPTU9UT1BMIn0.Ea3NqByCK0iWKDInV0XKA8r7nyMO7yerNtBpVBx5Zmk/image;s=644x461"
"renault","Twingo 1.2 16V 75 Quickshift Night & Day","122 575 km","Benzyna","Automatyczna","2011 ","https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6InVvb3l2NmJpajI5ZDMtT1RPTU9UT1BMIn0.t9F2Kir3jjM99TDMinFTm8Us9CQ6HtTgeD1Hw7iSZKg/image;s=320x240"
"renault","Twingo 1.2 16V Access","104 500 km","Benzyna","Manualna","2011 ","https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6Im83emNwMXFsN2l0ODItT1RPTU9UT1BMIn0.GKQzuG_a2bc7jukCppBIxByq0f2I-CIHCDRZJiIdqUA/image;s=320x240"
"renault","Twingo 1.2 16V Access","139 000 km","Benzyna","Manualna","2011 ","https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6InJvdm82M2J2eDJwYS1PVE9NT1RPUEwifQ.U2hwk8UtGbglFogxkzktWhO0ZvFH5_ivWsucMndY3G0/image;s=140x24"
"renault","Twingo 1.2 16V Dynamique","118 000 km","Benzyna","Manualna","2013 ","https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6IjMyaTFzbWphNDZiYy1PVE9NT1RPUEwifQ.RhTLLw55AAYrK3-1WTniR8zuMGDKblPFqQ4P2O1h2tk/image;s=320x240"
"renault","Twingo 1.2 16V Dynamique","180 000 km","Benzyna","Manualna","2012 ","https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6IjZoeG9zc2p0cm5xci1PVE9NT1RPUEwifQ.DI_8fid7kXeeUO2XKYYlF2PpnjOeFXg13R3G-aDt5d4/image;s=320x240"
"renault","Twingo 1.2 16V Eco Night&Day","104 900 km","Benzyna","Manualna","2014 ","https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6Iml2Mmp5dGxwYzU5djMtT1RPTU9UT1BMIn0.RwqcX_z_GSw0Z3IVshwlPRbgR2L4wKd6uCZGL0acuMM/image;s=320x240"
"renault","Twingo 1.2 16V Eco Night&Day","59 000 km","Benzyna","Manualna","2011 ","https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6ImFpcmI2Z2dwODRudTItT1RPTU9UT1BMIn0.8tzwVI1JfsAaVs4lcxe4Q9IM6eBTnmT9L7lzNrgmInA/image;s=320x240"
"renault","Twingo 1.2 16V Expression","190 000 km","Benzyna","Manualna","2010 ","https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6IjYyNTBjdGloNGtqazItT1RPTU9UT1BMIn0.C5CA33x1V7fHLu0jnntZJtsnVwYGifSUz62VBnxJtOQ/image;s=320x240"
"renault","Twingo 1.2 16V Night&Day","158 000 km","Benzyna","Manualna","2011 ","https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6IjFic2gzMjRjZ29xYS1PVE9NT1RPUEwifQ.IyKKpDPyhbuIHGKf5oJucGxRxpSeT3ctYFKsL5JyNng/image;s=320x240"
"renault","Twingo 1.2 16V Night&Day","190 000 km","Benzyna","Manualna","2013 ","https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6Im1rbmhobDhibHNxeDItT1RPTU9UT1BMIn0.KFmFF6rPu0xmnuqCI0K_uMZne4qetAMuiWuE21WxOP8/image;s=320x240"
"renault","Twingo 1.2 16V Night&Day","199 564 km","Benzyna","Manualna","2013 ","https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6InY2ZmFrb3RlNTFoYzEtT1RPTU9UT1BMIn0.ZAtRaoE6-sc4SsVgFoNK71URPNFRhf528QtYSuU0IBw/image;s=320x240"
"renault","Twingo 1.2 16V Rip Curl","155 000 km","Benzyna","Manualna","2010 ","https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6IjQyaWc0czQ0MHppaDMtT1RPTU9UT1BMIn0.hR5IyG__xkChbe49zpBrFpoLyaYcO96pbHVdSkCgnFk/image;s=320x240"
"renault","Twingo 1.2 16V Rip Curl","159 000 km","Benzyna","Manualna","2011 ","https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6IjdwcWY0ZmRvejNkeDItT1RPTU9UT1BMIn0._Lk7Z2CEJ2ZbeKnHIcG6YIRRauLzJkKWAqmB6nj17-k/image;s=320x240"
"renault","Twingo 1.2 16V Rip Curl","184 058 km","Benzyna+LPG","Manualna","2010 ","https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6IjBkOHFsZHRicHJnNTItT1RPTU9UT1BMIn0.xfeJTf2114DClkJ9-Ip3wN8n6mFjHshuIH5oMu5N2-w/image;s=320x240"
"renault","Twingo 1.2 16V Rip Curl","91 300 km","Benzyna","Manualna","2009 ","https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6IjJuNXh5d2IweTk1ODItT1RPTU9UT1BMIn0.Omz8G1QZBq8jf_aVMY-N6U96S0Amo_230Yh1Il-DtZg/image;s=320x240"
"renault","Twingo 1.2 16V Rip Curl Euro5","162 000 km","Benzyna+LPG","Manualna","2011 ","https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6IjJ6bW51anBxMXRrMTEtT1RPTU9UT1BMIn0.bFMp0VnXpkhl-SsfWBH0QI5YIYtu7jxefEICjC6p-_0/image;s=320x240"
"renault","Twingo 1.2 16V TCE GT","125 000 km","Benzyna","Manualna","2007 ","https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6ImdxMXoycDd2ZnRuMy1PVE9NT1RPUEwifQ.kCGHZ8IuILZ_In4It_MGKZCqsNbJRgEil4NKomRKrxs/image;s=320x240"
"renault","Twingo 1.2 8V Access","139 000 km","Benzyna","Manualna","2010 ","https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6ImNka2Y5dGtvOXBzZTItT1RPTU9UT1BMIn0.4GRlOmQ0zIuYuhYHApTXktx-mJYgSYbz7Sqdi_2e7HQ/image;s=320x240"
"renault","Twingo 1.2 8V Authentique","149 000 km","Benzyna","Manualna","2009 ","https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6InNiMm91bDBsMDNqZjEtT1RPTU9UT1BMIn0.XFKFkrF8QTdm7i84pb79wuajX8TEpNwxemyZ1t0IGhs/image;s=644x461"
"renault","Twingo 1.2 8V Authentique","154 000 km","Benzyna","Manualna","2008 ","https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6IjI3NTQ2a3V3bXBsMDMtT1RPTU9UT1BMIn0.wzU44NwzOjw2L32I9j0lWGkqxpPmsP3HSucklp2TulU/image;s=320x240"
"renault","Twingo 1.2 Elysee","84 510 km","Benzyna","Manualna","2007 ","https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6InI4ZGRnZWJ6ZjczYjEtT1RPTU9UT1BMIn0.i8hn_7fFOWZNDgCkio0reREa3QPj-0F5AgJlcFsQibc/image;s=320x240"
"renault","Twingo 1.2 Expression","163 224 km","Benzyna","Manualna","2009 ","https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6IjJna3ZldmN5MnExNzEtT1RPTU9UT1BMIn0.yKOKOzN65G-UugCgKJ5-R003qhwdZHANvR-uLEzNaWs/image;s=320x240"
"renault","Twingo 1.2 LEV 16V 75 Authentique","150 000 km","Benzyna","Manualna","2014 ","https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6IjZ6NnY0d2RhZzZhdS1PVE9NT1RPUEwifQ.QjRASddgunz6QWx4kRVdrH4RBRvXmvgniwyFQFW8qVY/image;s=320x240"
"renault","Twingo 1.2 LEV 16V 75 Authentique","151 000 km","Benzyna","Manualna","2011 ","https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6ImlnZWM2MGZ2NGduOS1PVE9NT1RPUEwifQ.1uMN_YCfiid6wvcOc7Oo3W8OPyjOe1hIPMWwWPFLZz0/image;s=320x240"
"renault","Twingo 1.2 LEV 16V 75 Dynamique","68 000 km","Benzyna","Manualna","2014 ","https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6IngxdTkwZ3FkcTR3aTMtT1RPTU9UT1BMIn0.G_T9hlgvMMGmYJlP5xfWUDvHwsndbrYkC2gnm7kfaRU/image;s=320x240"
"renault","Twingo 1.2 LEV 16V 75 Night & Day","153 000 km","Benzyna","Manualna","2014 ","https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6InAyZnhocjlmdnkwOTItT1RPTU9UT1BMIn0.c_jsSnqlLOFVkPzS_w5gKQUNaOYDej6OIIr7rKwA_3I/image;s=320x240"
"renault","Twingo 1.2 LEV 16V 75 Paris","159 000 km","Benzyna","Manualna","2011 ","https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6IjNuY2dwNjJkcnh6eDEtT1RPTU9UT1BMIn0.6JNsy3b8D4mruCjyQVPg1wTSkNeJVpjT8JqEoAdZcFA/image;s=320x240"
"renault","Twingo 1.2 LEV 16V 75 eco2","132 582 km","Benzyna","Manualna","2009 ","https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6InlwM28zdmMxNWloZTEtT1RPTU9UT1BMIn0.S3sA0jzjh-jfOGmDi7wjz8bbMnS_QvlEEgZlm2x3ENg/image;s=320x240"
"renault","Twingo 1.5 dCi Authentique","127 000 km","Diesel","Manualna","2012 ","https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6ImFzaHh2YnV0eW5uazItT1RPTU9UT1BMIn0.6dgCsDM0j4xjE-RW0Jv1QmLRq4o4zEcKqXSidcpER_U/image;s=320x240"
"renault","Twingo 1.5 dCi Rip Curl","167 000 km","Diesel","Manualna","2008 ","https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6InozbTdnOGs1M3RhZC1PVE9NT1RPUEwifQ.ViD6XLlNIB_ozuCPf4mhHQj7NAYVlKfdRcC3fFGI3yg/image;s=320x240"
"renault","Twingo 1.6 16V RS","177 000 km","Benzyna+LPG","Manualna","2008 ","https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6ImlhMTl3aXMxam8zbTItT1RPTU9UT1BMIn0.PVJ7nfjghZkuHwT7yjIreXubeEZvq5bMOjGWPTu6wRU/image;s=320x240"
"renault","Twingo 1.6 16V RS","62 123 km","Benzyna","Manualna","2010 ","https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6InRwNmh0YjlpdTM0NTEtT1RPTU9UT1BMIn0.zzm5InnWvWHkbHhCSBOqs9rMRIi1FQpGRN22RPFtx1c/image;s=320x240"
"renault","Twingo ENERGY TCe 90 Dynamique","78 680 km","Benzyna","Manualna","2016 ","https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6Ink4bWQ3ZXNyaWhsYy1PVE9NT1RPUEwifQ.rvf9w_204sC38u6HX7aKs9gP6hL10STgTuf2Phy71g8/image;s=320x240"
"renault","Twingo ENERGY TCe 90 Experience","28 000 km","Benzyna","Manualna","2019 ","https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6ImI5bzFwcTd1eHg0eC1PVE9NT1RPUEwifQ.hrTqnu_SzPTyofViJJ3LX_OUwTEB3zz1Q60VQZMSldk/image;s=320x240"
"renault","Twingo ENERGY TCe 90 LA PARISIENNE","61 000 km","Benzyna","Manualna","2017 ","https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6ImFpZjlieGhrcGJlMjEtT1RPTU9UT1BMIn0.GUO8YtU5rS4KBs22LHqMAdWHLZcRvg_w17rfLFsxPb4/image;s=320x240"
"renault","Twingo ENERGY TCe 90 LIMITED","104 000 km","Benzyna","Manualna","2015 ","https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6InVkeDZhcXp2c2Q1dC1PVE9NT1RPUEwifQ.22v9RBw5SNXoGRTaWL4b1UnFcbwPp_HRUhkM0tAHO44/image;s=320x240"
"renault","Twingo ENERGY TCe 90 LIMITED","33 876 km","Benzyna","Manualna","2017 ","https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6ImJxa3Npbndobmc4bi1PVE9NT1RPUEwifQ.taM9yLfL1LUzY3wIf1JIpSNTCbKcGzG1G9Pt0lkroMs/image;s=320x240"
"renault","Twingo ENERGY TCe 90 Luxe","32 940 km","Benzyna","Manualna","2017 ","https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6IjEzemh4OTZxOGQzazEtT1RPTU9UT1BMIn0.Z7TVHTn2l6XaWEzQqlxkArRxNUwmZAEjSCQO3mRTXOs/image;s=320x240"
"renault","Twingo Electric INTENS","13 500 km","Elektryczny","Automatyczna","2022 ","https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6Imt5cmJyMHJqMTJtbjEtT1RPTU9UT1BMIn0.KnJONae0524EO7OfxiJVtPu1skc7a6LEQzEHNfmCGYM/image;s=320x240"
"renault","Twingo Electric INTENS","25 600 km","Elektryczny","Automatyczna","2021 ","https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6ImF1bzl3cGtuMmY2ZTMtT1RPTU9UT1BMIn0.s6v2L6h-lPY2frKPCFjAM_74Zd6DoKsTo0NzgL1Tjog/image;s=320x240"
"renault","Twingo Electric Techno","18 800 km","Elektryczny","Automatyczna","2022 ","https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6InU2dXJxNDd0Z3JoNDEtT1RPTU9UT1BMIn0.nVDlDbcLRBxqNBmAgUXMnCLM2xPKjS0QRDeNHiW8GIQ/image;s=320x240"
"renault","Twingo Electric URBAN NIGHT","9 600 km","Elektryczny","Automatyczna","2022 ","https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6InVjZHBxeHBpajF3eS1PVE9NT1RPUEwifQ.dbtoACWELYsHrhcnSNPw-zrRlYExXGOiDyqAqI1sdVg/image;s=320x240"
"renault","Twingo Electric ZEN","7 100 km","Elektryczny","Automatyczna","2022 ","https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6Im5rbzJ5dmFycG80MzItT1RPTU9UT1BMIn0.hZIPBIU05Wu63IbQs9-gNGvCqj8IAUX3r0zcTV4Kl9E/image;s=320x240"
"renault","Twingo Energy TCe 90 Intens","145 500 km","Benzyna","Manualna","2015 ","https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6ImprNThqMzRjdmtpZzEtT1RPTU9UT1BMIn0.bdFiguiWt9Ip-z4NxO-MsUpg33CcxliMlVhjNBhVXh4/image;s=140x24"
"renault","Twingo SCe 65 Equilibre","58 000 km","Benzyna","Manualna","2020 ","https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6Ijg5MGd1bWpiajk0MzItT1RPTU9UT1BMIn0.WA6BzcB3TQsYiJizLN5-C4okWruSG6CozUUv4_3dtUQ/image;s=320x240"
"renault","Twingo SCe 70 Dynamique","97 000 km","Benzyna","Manualna","2015 ","https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6ImQ2dnAzZ3cxcjEwODItT1RPTU9UT1BMIn0.KxfFPsqBxa8M6zYd9b4P6YBO4w7XcIoGbQRZvdbLlvw/image;s=320x240"
"renault","Twingo SCe 70 Expression","51 000 km","Benzyna","Manualna","2014 ","https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6IjZ5ZHc0MzJscGp5NzItT1RPTU9UT1BMIn0.zDC_77mQ0wXa7ueAXI-8hfLS6z11u3tQYZ4gyyi3WLQ/image;s=320x240"
"renault","Twingo SCe 70 Expression","77 700 km","Benzyna","Manualna","2015 ","https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6ImRkbnh6a2pyam81YS1PVE9NT1RPUEwifQ.PpqL9wOIkl-nA0JuoP4TEwRgL4eRW3dF55MLS8zLlmY/image;s=320x240"
"renault","Twingo SCe 70 Expression","95 000 km","Benzyna","Manualna","2015 ","//statics.otomoto.pl/optimus-storage/a/otomotopl/images/listing/gallery-cta.svg"
"renault","Twingo SCe 70 Intens","173 000 km","Benzyna","Manualna","2015 ","https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6InFucHdpZXMwd3E5ZTItT1RPTU9UT1BMIn0.JNwCNKlppodcalEYAtIdNOttAWSRpn3gma2oFitYIQI/image;s=320x240"
"renault","Twingo SCe 70 Intens","28 475 km","Benzyna","Manualna","2015 ","https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6ImZ1bG5wNzhhemlkZTItT1RPTU9UT1BMIn0.tmHq4IJ9nlzvHOg061114LyvUb78wbUKVtq_ILlqne8/image;s=320x240"
"renault","Twingo SCe 70 LIMITED","87 000 km","Benzyna","Manualna","2017 ","https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6ImhzYXhubDZ5ZXQyNC1PVE9NT1RPUEwifQ.bNv9US8kmtxnZOOr18zws2jhmp_Tztw6lD2vjkAtb9M/image;s=320x240"
"renault","Twingo SCe 70 LIMITED","96 000 km","Benzyna","Manualna","2018 ","https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6IjhudGt0ZGh4Y3prdTItT1RPTU9UT1BMIn0.Paqw8M5i_wejhbDAVXDjfydtlMgbZx_ItEt6FKzjlXM/image;s=320x240"
"renault","Twingo SCe 70 LIMITED 2018","66 000 km","Benzyna","Manualna","2017 ","https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6InVmcTFjZWdncmQ1cDEtT1RPTU9UT1BMIn0.wwSFkqCGcH5_VrsnuaCZnZbPeYGxHmclebHAOka_MAA/image;s=320x240"
"renault","Twingo SCe 70 Life","116 586 km","Benzyna","Manualna","2015 ","https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6InlnbnNzYWZtam1jOTMtT1RPTU9UT1BMIn0.RBAaNpM-3OpOe-99QrldyTLHX-XHuDC4nsDK1U_pJdo/image;s=320x240"
"renault","Twingo SCe 70 Life","40 000 km","Benzyna","Manualna","2015 ","https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6ImxxNnZ1bzBwemM4YzItT1RPTU9UT1BMIn0.Xk0MXDZgCYTLzdz49YPvY_sXyIpVCnLtyHGmBR_W9Fg/image;s=320x240"
"renault","Twingo SCe 70 Life","97 000 km","Benzyna","Manualna","2018 ","https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6InlxMTMwdmRheGVvNS1PVE9NT1RPUEwifQ.CdX_pObhiOLhYIwpLQUwhtLKOipGgbBTv99vhVCADOg/image;s=320x240"
"renault","Twingo SCe 70 Life EU6","216 000 km","Benzyna","Manualna","2017 ","https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6InFnbHZpZjU3bWE5ZTItT1RPTU9UT1BMIn0.jvIQFZnpZ4Gq609Wb-3h1Vj_XYxzKRpm00Kp5RlhfYc/image;s=320x240"
"renault","Twingo SCe 70 Start&Stop Dynamique","101 000 km","Benzyna","Manualna","2014 ","https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6ImNmazNjaGEzNmp6ZzItT1RPTU9UT1BMIn0.EYCyLTKxUCg3ZfOtGPYUiPATMEqLYejuTelrGtlHZsk/image;s=644x461"
"renault","Twingo SCe 70 Start&Stop Dynamique","115 461 km","Benzyna","Manualna","2014 ","https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6Impza3R0ZXRwZTAyai1PVE9NT1RPUEwifQ.Auu3FlwrjMByiehLXVaCWAwoFvjfSl_Joq3Nq9awEHA/image;s=320x240"
