"Marka","Model","Przebieg","Rodzaj Paliwa","Skrzynia Biegów","Rok Produkcji","Zdjęcie"
"Alfa Romeo","159 1.9 JTDM 8V DPF","174 200 km","Diesel","Manualna","2008 ","https://www.otomoto.pl/osobowe/oferta/alfa-romeo-159-alfa-romeo-159-1-9-jtdm-polift-swietny-stan-ID6GnmSo.html"
"Alfa Romeo","159 1.9 JTDM 8V DPF","252 000 km","Diesel","Manualna","2006 ","https://www.otomoto.pl/osobowe/oferta/alfa-romeo-159-alfa-159-w-super-stanie-ID6GBtwA.html"
"Alfa Romeo","159 1.9JTDM Distinctive","215 500 km","Diesel","Manualna","2006 ","https://www.otomoto.pl/osobowe/oferta/alfa-romeo-159-alfa-romeo-159-distinctive-1-9-jtdm-ID6GopBr.html"
"Alfa Romeo","159 1.9JTDM Distinctive","250 000 km","Diesel","Manualna","2008 ","https://www.otomoto.pl/osobowe/oferta/alfa-romeo-159-sprzedam-uszkodzona-alfe-romeo-159-ID6GwKfE.html"
"Alfa Romeo","159 1.9JTDM Distinctive","252 857 km","Diesel","Manualna","2007 ","https://www.otomoto.pl/osobowe/oferta/alfa-romeo-159-1-9-jtdm-150km-2007r-sedan-distinctive-climatronic-alu-zadbana-ID6FPBlY.html"
"Alfa Romeo","159 1.9JTDM Distinctive","262 000 km","Diesel","Manualna","2008 ","https://www.otomoto.pl/osobowe/oferta/alfa-romeo-159-alfa-159-sw-1-9-jtdm-150km-salon-polska-zadbany-ID6GABCo.html"
"Alfa Romeo","159 1.9JTDM Distinctive","270 000 km","Diesel","Manualna","2006 ","https://www.otomoto.pl/osobowe/oferta/alfa-romeo-159-alfa-romeo-159-1-9-jtd-ID6GBmZY.html"
"Alfa Romeo","159 1.9JTDM Distinctive","283 000 km","Diesel","Manualna","2007 ","https://www.otomoto.pl/osobowe/oferta/alfa-romeo-159-zadbana-serwisowana-do-konca-ID6GxJ3Z.html"
"Alfa Romeo","159 1.9JTDM Distinctive","318 000 km","Diesel","Manualna","2010 ","https://www.otomoto.pl/osobowe/oferta/alfa-romeo-159-1-rok-gwarancji-w-cenie-auta-zamiana-fajny-stan-alu-skora-ID6FHxuf.html"
"Alfa Romeo","159 1.9JTDM Impression","248 200 km","Diesel","Manualna","2007 ","https://www.otomoto.pl/osobowe/oferta/alfa-romeo-159-stan-bdb-bez-wkladu-klima-sprawna-zamiana-gwarancja-ID6GtaCN.html"
"Alfa Romeo","159 1.9JTDM Impression","330 000 km","Diesel","Manualna","2010 ","https://www.otomoto.pl/osobowe/oferta/alfa-romeo-159-ID6GEu8v.html"
"Alfa Romeo","159 1.9JTDM Progression","172 877 km","Diesel","Manualna","2008 ","https://www.otomoto.pl/osobowe/oferta/alfa-romeo-159-progression-1-9jtdm-120km-pelna-historia-serwisowa-ID6Gr2iM.html"
"Alfa Romeo","159 1.9JTDM Progression","238 378 km","Diesel","Manualna","2008 ","https://www.otomoto.pl/osobowe/oferta/alfa-romeo-159-alfa-romeo-159-jtdm-ID6Gr9jY.html"
"Alfa Romeo","159 1.9JTDM Progression","298 000 km","Diesel","Manualna","2007 ","https://www.otomoto.pl/osobowe/oferta/alfa-romeo-159-1-9-jtdm-16v-150km-ID6GAgon.html"
"Alfa Romeo","159 1.9JTDM Q-Progression","250 000 km","Diesel","Automatyczna","2007 ","https://www.otomoto.pl/osobowe/oferta/alfa-romeo-159-ID6GkZMF.html"
"Alfa Romeo","159 1750TBi Progression","240 000 km","Benzyna","Manualna","2009 ","https://www.otomoto.pl/osobowe/oferta/alfa-romeo-159-alfa-romeo-159-1-75-tbi-ID6GyFVA.html"
"Alfa Romeo","159 2.0JTDM Sport","235 000 km","Diesel","Manualna","2011 ","https://www.otomoto.pl/osobowe/oferta/alfa-romeo-159-ID6Gy4oj.html"
"Alfa Romeo","159 2.0JTDM Sport","256 530 km","Diesel","Manualna","2011 ","https://www.otomoto.pl/osobowe/oferta/alfa-romeo-159-czerwone-skory-zadbana-individual-jedyna-taka-ID6GcJVo.html"
"Alfa Romeo","159 2.4 JTDM 20V DPF Progression","230 000 km","Diesel","Manualna","2007 ","https://www.otomoto.pl/osobowe/oferta/alfa-romeo-159-2-4jtdm-ID6GABR6.html"
"Alfa Romeo","159 2.4 JTDM 20V DPF Q-Tronic Turismo","220 000 km","Diesel","Automatyczna","2008 ","https://www.otomoto.pl/osobowe/oferta/alfa-romeo-159-ID6GB6OJ.html"
"Alfa Romeo","159 2.4JTDM Progression","355 000 km","Diesel","Manualna","2007 ","https://www.otomoto.pl/osobowe/oferta/alfa-romeo-159-alfa-romeo-159-2-4-jtdm-200km-sportwagon-ID6Gu21B.html"
